Layer,Recommendation,Why
UI,React 19 + TypeScript,"Fast, stable, excellent ecosystem"
Build,Vite,Very fast development/build
Styling,Tailwind CSS,"Small, consistent mobile UI"
Components,"shadcn/ui, selectively",Accessible components without heavy runtime
Routing,React Router,Lightweight and mature
Server/cloud,Firebase,Auth + Firestore + Hosting
Authentication,Firebase Auth + Google,Exactly matches your requirement
Database,Dexie + IndexedDB,Excellent browser-local database
State,Zustand,Tiny and simple
Server sync,Custom sync repository,Gives you control over Firestore reads/writes
PWA,vite-plugin-pwa + Workbox,App-shell/offline caching
Localization,i18next + react-i18next,English/Urdu/Roman Urdu
Date logic,date-fns,Lightweight and modular
Validation,Zod,Runtime validation for synced/user data
IDs,Firestore-compatible generated IDs,Avoid predictable IDs
Testing,Vitest + Testing Library + Playwright,Unit + UI + real browser/PWA testing
Monitoring,Firebase Performance + Crashlytics later,Performance/error visibility
Hosting,Firebase Hosting,Free-friendly and simple
